S.No,question
1,[Self Introduction] What motivates you every day?
2,[Self Introduction] What is your goal in life?
3,[Self Introduction] What are your weaknesses?
4,[Self Introduction] What is your goal in life?
5,[Self Introduction] How do you handle stress?
6,[Self Introduction] Tell me about yourself.
7,[Self Introduction] What are your weaknesses?
8,[Self Introduction] How do you handle stress?
9,[Self Introduction] Describe yourself in three words.
10,[Self Introduction] How would your friends describe you?
11,[Self Introduction] What are your strengths?
12,[Self Introduction] Describe yourself in three words.
13,[Self Introduction] What is your goal in life?
14,[Self Introduction] Tell me about yourself.
15,[Self Introduction] What are your strengths?
16,[Self Introduction] Tell me about yourself.
17,[Self Introduction] What motivates you every day?
18,[Self Introduction] What motivates you every day?
19,[Self Introduction] Tell me about yourself.
20,[Self Introduction] Describe yourself in three words.
21,[Self Introduction] How would your friends describe you?
22,[Self Introduction] What are your weaknesses?
23,[Self Introduction] What is your goal in life?
24,[Self Introduction] How would your friends describe you?
25,[Self Introduction] What are your strengths?
26,[Self Introduction] What personal value do you believe in most?
27,[Self Introduction] How do you spend your free time?
28,[Self Introduction] Describe yourself in three words.
29,[Self Introduction] How do you spend your free time?
30,[Self Introduction] How would your friends describe you?
31,[Self Introduction] How do you handle stress?
32,[Self Introduction] How would your friends describe you?
33,[Self Introduction] What is your goal in life?
34,[Self Introduction] How would your friends describe you?
35,[Self Introduction] How would your friends describe you?
36,[Self Introduction] How do you handle stress?
37,[Self Introduction] How do you handle stress?
38,[Self Introduction] What motivates you every day?
39,[Self Introduction] What is your goal in life?
40,[Self Introduction] How would your friends describe you?
41,[Self Introduction] What is your goal in life?
42,[Self Introduction] What personal value do you believe in most?
43,[Self Introduction] How would your friends describe you?
44,[Self Introduction] What are your strengths?
45,[Self Introduction] Tell me about yourself.
46,[Self Introduction] How do you spend your free time?
47,[Self Introduction] What is your goal in life?
48,[Self Introduction] What is your goal in life?
49,[Self Introduction] How do you spend your free time?
50,[Self Introduction] How would your friends describe you?
51,[Self Introduction] What are your strengths?
52,[Self Introduction] What is your goal in life?
53,[Self Introduction] What personal value do you believe in most?
54,[Self Introduction] What are your strengths?
55,[Self Introduction] What personal value do you believe in most?
56,[Self Introduction] Describe yourself in three words.
57,[Self Introduction] What motivates you every day?
58,[Self Introduction] What motivates you every day?
59,[Self Introduction] Describe yourself in three words.
60,[Self Introduction] Describe yourself in three words.
61,[Self Introduction] What are your strengths?
62,[Self Introduction] Describe yourself in three words.
63,[Self Introduction] What motivates you every day?
64,[Self Introduction] How would your friends describe you?
65,[Self Introduction] Tell me about yourself.
66,[Self Introduction] Describe yourself in three words.
67,[Self Introduction] What is your goal in life?
68,[Self Introduction] How would your friends describe you?
69,[Self Introduction] How do you handle stress?
70,[Self Introduction] What personal value do you believe in most?
71,[Self Introduction] How do you spend your free time?
72,[Self Introduction] What are your weaknesses?
73,[Self Introduction] How would your friends describe you?
74,[Self Introduction] What is your goal in life?
75,[Self Introduction] What are your strengths?
76,[Self Introduction] How do you handle stress?
77,[Self Introduction] What are your strengths?
78,[Self Introduction] What are your strengths?
79,[Self Introduction] Tell me about yourself.
80,[Self Introduction] How do you handle stress?
81,[Self Introduction] Describe yourself in three words.
82,[Self Introduction] What motivates you every day?
83,[Self Introduction] How would your friends describe you?
84,[Self Introduction] Tell me about yourself.
85,[Self Introduction] What is your goal in life?
86,[Self Introduction] How do you spend your free time?
87,[Self Introduction] What motivates you every day?
88,[Self Introduction] Tell me about yourself.
89,[Self Introduction] How do you spend your free time?
90,[Self Introduction] What personal value do you believe in most?
91,[Self Introduction] How do you handle stress?
92,[Self Introduction] What is your goal in life?
93,[Self Introduction] What is your goal in life?
94,[Self Introduction] What motivates you every day?
95,[Self Introduction] How do you spend your free time?
96,[Self Introduction] Tell me about yourself.
97,[Self Introduction] Describe yourself in three words.
98,[Self Introduction] What are your weaknesses?
99,[Self Introduction] How would your friends describe you?
100,[Self Introduction] How would your friends describe you?
101,[Family and Friends] Who is the most caring person in your life?
102,[Family and Friends] What role does your family play in your life?
103,[Family and Friends] Tell me about your family.
104,[Family and Friends] Who is the most caring person in your life?
105,[Family and Friends] What is a fun memory you have with your friends?
106,[Family and Friends] What is a fun memory you have with your friends?
107,[Family and Friends] What role does your family play in your life?
108,[Family and Friends] What is a fun memory you have with your friends?
109,[Family and Friends] What role does your family play in your life?
110,[Family and Friends] Who is your best friend and why?
111,[Family and Friends] How do you support your family?
112,[Family and Friends] Describe a celebration you had with your family.
113,[Family and Friends] Who inspires you in your family?
114,[Family and Friends] What do you and your friends do for fun?
115,[Family and Friends] What is a fun memory you have with your friends?
116,[Family and Friends] What do you and your friends do for fun?
117,[Family and Friends] Who do you trust the most?
118,[Family and Friends] What is a fun memory you have with your friends?
119,[Family and Friends] Who is the most caring person in your life?
120,[Family and Friends] Who do you trust the most?
121,[Family and Friends] Who is the most caring person in your life?
122,[Family and Friends] Tell me about your family.
123,[Family and Friends] Tell me about your family.
124,[Family and Friends] What is a fun memory you have with your friends?
125,[Family and Friends] What do you and your friends do for fun?
126,[Family and Friends] Who is the most caring person in your life?
127,[Family and Friends] Who do you trust the most?
128,[Family and Friends] Who is the most caring person in your life?
129,[Family and Friends] Who inspires you in your family?
130,[Family and Friends] Who do you trust the most?
131,[Family and Friends] Who is your best friend and why?
132,[Family and Friends] Describe a celebration you had with your family.
133,[Family and Friends] Who is your best friend and why?
134,[Family and Friends] Tell me about your family.
135,[Family and Friends] Who is the most caring person in your life?
136,[Family and Friends] What is a fun memory you have with your friends?
137,[Family and Friends] What is a fun memory you have with your friends?
138,[Family and Friends] Who is your best friend and why?
139,[Family and Friends] Who do you trust the most?
140,[Family and Friends] What is a fun memory you have with your friends?
141,[Family and Friends] Describe a celebration you had with your family.
142,[Family and Friends] How do you support your family?
143,[Family and Friends] What is a fun memory you have with your friends?
144,[Family and Friends] How do you support your family?
145,[Family and Friends] What do you and your friends do for fun?
146,[Family and Friends] Tell me about your family.
147,[Family and Friends] Who is the most caring person in your life?
148,[Family and Friends] What is a fun memory you have with your friends?
149,[Family and Friends] Tell me about your family.
150,[Family and Friends] Who do you trust the most?
151,[Family and Friends] Who is your best friend and why?
152,[Family and Friends] Who inspires you in your family?
153,[Family and Friends] What do you and your friends do for fun?
154,[Family and Friends] Describe a celebration you had with your family.
155,[Family and Friends] Who is your best friend and why?
156,[Family and Friends] Who is your best friend and why?
157,[Family and Friends] What is a fun memory you have with your friends?
158,[Family and Friends] Who do you trust the most?
159,[Family and Friends] What do you and your friends do for fun?
160,[Family and Friends] Who do you trust the most?
161,[Family and Friends] Who inspires you in your family?
162,[Family and Friends] Who is the most caring person in your life?
163,[Family and Friends] What do you and your friends do for fun?
164,[Family and Friends] What is a fun memory you have with your friends?
165,[Family and Friends] What is a fun memory you have with your friends?
166,[Family and Friends] Who is the most caring person in your life?
167,[Family and Friends] How do you support your family?
168,[Family and Friends] What is a fun memory you have with your friends?
169,[Family and Friends] What role does your family play in your life?
170,[Family and Friends] What is a fun memory you have with your friends?
171,[Family and Friends] Describe a celebration you had with your family.
172,[Family and Friends] How do you support your family?
173,[Family and Friends] How do you support your family?
174,[Family and Friends] What is a fun memory you have with your friends?
175,[Family and Friends] What is a fun memory you have with your friends?
176,[Family and Friends] Who is the most caring person in your life?
177,[Family and Friends] How do you support your family?
178,[Family and Friends] Who is the most caring person in your life?
179,[Family and Friends] Describe a celebration you had with your family.
180,[Family and Friends] Who do you trust the most?
181,[Family and Friends] Who do you trust the most?
182,[Family and Friends] How do you support your family?
183,[Family and Friends] What role does your family play in your life?
184,[Family and Friends] Who do you trust the most?
185,[Family and Friends] Tell me about your family.
186,[Family and Friends] Who is the most caring person in your life?
187,[Family and Friends] Who is your best friend and why?
188,[Family and Friends] Who is the most caring person in your life?
189,[Family and Friends] How do you support your family?
190,[Family and Friends] What is a fun memory you have with your friends?
191,[Family and Friends] What do you and your friends do for fun?
192,[Family and Friends] Who do you trust the most?
193,[Family and Friends] Who do you trust the most?
194,[Family and Friends] Who do you trust the most?
195,[Family and Friends] Who inspires you in your family?
196,[Family and Friends] Describe a celebration you had with your family.
197,[Family and Friends] Who is the most caring person in your life?
198,[Family and Friends] Describe a celebration you had with your family.
199,[Family and Friends] Describe a celebration you had with your family.
200,[Family and Friends] What is a fun memory you have with your friends?
201,[Favorites] Which season do you like most?
202,[Favorites] Which season do you like most?
203,[Favorites] What is your favorite book?
204,[Favorites] What is your favorite holiday?
205,[Favorites] What is your favorite color?
206,[Favorites] What is your favorite color?
207,[Favorites] What is your favorite color?
208,[Favorites] What is your favorite movie and why?
209,[Favorites] What is your favorite holiday?
210,[Favorites] Which season do you like most?
211,[Favorites] Which festival do you enjoy most?
212,[Favorites] What is your favorite book?
213,[Favorites] What is your favorite food?
214,[Favorites] Which festival do you enjoy most?
215,[Favorites] What is your favorite movie and why?
216,[Favorites] What is your favorite place to visit?
217,[Favorites] What is your favorite movie and why?
218,[Favorites] What is your favorite holiday?
219,[Favorites] Which festival do you enjoy most?
220,[Favorites] Which festival do you enjoy most?
221,[Favorites] Which song do you listen to the most?
222,[Favorites] What is your favorite place to visit?
223,[Favorites] What is your favorite holiday?
224,[Favorites] What is your favorite holiday?
225,[Favorites] Which festival do you enjoy most?
226,[Favorites] What is your favorite color?
227,[Favorites] Who is your favorite actor or actress?
228,[Favorites] Who is your favorite actor or actress?
229,[Favorites] Which festival do you enjoy most?
230,[Favorites] Which season do you like most?
231,[Favorites] What is your favorite food?
232,[Favorites] What is your favorite holiday?
233,[Favorites] What is your favorite holiday?
234,[Favorites] Which season do you like most?
235,[Favorites] What is your favorite color?
236,[Favorites] What is your favorite food?
237,[Favorites] What is your favorite color?
238,[Favorites] Which festival do you enjoy most?
239,[Favorites] Who is your favorite actor or actress?
240,[Favorites] Which season do you like most?
241,[Favorites] Which song do you listen to the most?
242,[Favorites] What is your favorite movie and why?
243,[Favorites] What is your favorite holiday?
244,[Favorites] What is your favorite color?
245,[Favorites] What is your favorite holiday?
246,[Favorites] What is your favorite food?
247,[Favorites] What is your favorite movie and why?
248,[Favorites] Which season do you like most?
249,[Favorites] What is your favorite holiday?
250,[Favorites] Which song do you listen to the most?
251,[Favorites] Who is your favorite actor or actress?
252,[Favorites] Which season do you like most?
253,[Favorites] What is your favorite book?
254,[Favorites] What is your favorite movie and why?
255,[Favorites] What is your favorite place to visit?
256,[Favorites] What is your favorite food?
257,[Favorites] Which season do you like most?
258,[Favorites] Who is your favorite actor or actress?
259,[Favorites] Which season do you like most?
260,[Favorites] What is your favorite book?
261,[Favorites] What is your favorite color?
262,[Favorites] Who is your favorite actor or actress?
263,[Favorites] Which season do you like most?
264,[Favorites] What is your favorite food?
265,[Favorites] What is your favorite place to visit?
266,[Favorites] Which song do you listen to the most?
267,[Favorites] What is your favorite food?
268,[Favorites] What is your favorite food?
269,[Favorites] What is your favorite book?
270,[Favorites] What is your favorite food?
271,[Favorites] What is your favorite color?
272,[Favorites] What is your favorite food?
273,[Favorites] What is your favorite holiday?
274,[Favorites] What is your favorite food?
275,[Favorites] What is your favorite color?
276,[Favorites] What is your favorite holiday?
277,[Favorites] Which festival do you enjoy most?
278,[Favorites] Which festival do you enjoy most?
279,[Favorites] What is your favorite color?
280,[Favorites] What is your favorite movie and why?
281,[Favorites] What is your favorite color?
282,[Favorites] What is your favorite movie and why?
283,[Favorites] Which song do you listen to the most?
284,[Favorites] Which song do you listen to the most?
285,[Favorites] Who is your favorite actor or actress?
286,[Favorites] What is your favorite food?
287,[Favorites] What is your favorite color?
288,[Favorites] Which song do you listen to the most?
289,[Favorites] Who is your favorite actor or actress?
290,[Favorites] Which song do you listen to the most?
291,[Favorites] Which season do you like most?
292,[Favorites] What is your favorite movie and why?
293,[Favorites] What is your favorite movie and why?
294,[Favorites] Which festival do you enjoy most?
295,[Favorites] What is your favorite food?
296,[Favorites] What is your favorite color?
297,[Favorites] What is your favorite place to visit?
298,[Favorites] What is your favorite color?
299,[Favorites] What is your favorite holiday?
300,[Favorites] Which season do you like most?
301,[Situational] What will you do if you lose your wallet?
302,[Situational] What if your teacher gives you extra homework?
303,[Situational] How will you handle a disagreement in a team?
304,[Situational] What will you do if you win a prize?
305,[Situational] What if someone blames you wrongly?
306,[Situational] What will you do if your friend is upset?
307,[Situational] How do you behave if someone is rude to you?
308,[Situational] How do you behave if someone is rude to you?
309,[Situational] What will you do if you lose your wallet?
310,[Situational] What will you do if you miss a train?
311,[Situational] What will you do if you are late for an interview?
312,[Situational] How will you handle a disagreement in a team?
313,[Situational] What if someone blames you wrongly?
314,[Situational] What if your teacher gives you extra homework?
315,[Situational] What if someone blames you wrongly?
316,[Situational] What will you do if you win a prize?
317,[Situational] What will you do if you lose your wallet?
318,[Situational] What will you do if you are late for an interview?
319,[Situational] What if your teacher gives you extra homework?
320,[Situational] What will you do if you win a prize?
321,[Situational] What will you do if you are late for an interview?
322,[Situational] What will you do if you miss a train?
323,[Situational] What will you do if you miss a train?
324,[Situational] What will you do if you miss a train?
325,[Situational] What if your teacher gives you extra homework?
326,[Situational] What will you do if your friend is upset?
327,[Situational] What will you do if you are late for an interview?
328,[Situational] What will you do if you miss a train?
329,[Situational] What if your teacher gives you extra homework?
330,[Situational] What will you do if your phone stops working?
331,[Situational] What will you do if your friend is upset?
332,[Situational] What will you do if your friend is upset?
333,[Situational] How do you behave if someone is rude to you?
334,[Situational] What will you do if you win a prize?
335,[Situational] How will you handle a disagreement in a team?
336,[Situational] How do you behave if someone is rude to you?
337,[Situational] What will you do if you miss a train?
338,[Situational] What will you do if you are late for an interview?
339,[Situational] What will you do if you miss a train?
340,[Situational] What if someone blames you wrongly?
341,[Situational] What if your teacher gives you extra homework?
